Gene,Max_logExp,Threshold
PDYN,0.3716399226051592,0.03716399226051592
PENK,2.1086869163766617,0.2108686916376662
PMCH,1.7412523335999999,0.17412523336
PNMT,2.595798783745516,0.2595798783745516
PNOC,1.597670743833162,0.15976707438331622
POMC,4.515515968290056,0.4515515968290056
PPY,6.888968021188925,0.6888968021188925
PRL,8.230295488412388,0.8230295488412388
PROK1,1.8183774618658026,0.18183774618658027
PROK2,3.0327881745186334,0.30327881745186336
PRXL2B,0.5625277095752138,0.05625277095752138
PTGDS,6.297456257411285,0.6297456257411285
PTGES,2.9112395340143813,0.29112395340143815
PTGIS,1.7283416939952032,0.17283416939952034
PTGS1,2.7127463348130787,0.27127463348130787
PTGS2,3.7768318805869514,0.37768318805869516
PTH,7.805936813364434,0.7805936813364434
PTHLH,1.7083779957599288,0.17083779957599288
PYY,5.687148295000002,0.5687148295000002
RARRES2,4.366699819593012,0.4366699819593012
RBP4,4.127325097185311,0.41273250971853115
RETN,3.8719812526846935,0.38719812526846936
RLN1,0.06405741444722508,0.006405741444722508
RLN2,0.26281391019353123,0.026281391019353124
RLN3,0.03937144232747608,0.003937144232747609
SCT,3.3044574780000033,0.33044574780000036
SERPINA12,0.4053396286331148,0.040533962863311485
SLC18A1,0.9583893899,0.09583893899000001
SLC18A2,2.582184769072649,0.2582184769072649
SLC26A4,1.98002608597354,0.198002608597354
SLC5A5,0.7351306269199999,0.07351306269199999
SOST,2.7793968855080813,0.27793968855080814
SPX,1.0949841196747867,0.10949841196747867
SST,7.615070888161713,0.7615070888161714
STAR,4.048706418988731,0.4048706418988731
TAC1,2.072992494344299,0.2072992494344299
TAC3,1.493875020148198,0.14938750201481982
TBXAS1,2.260585471642305,0.22605854716423052
TG,4.611534291200001,0.4611534291200001
TH,0.2950803064612866,0.02950803064612866
THPO,0.1481228184428163,0.01481228184428163
TOR2A,0.5107899207994795,0.051078992079947955
TPH1,3.5243077448,0.35243077448000004
TPH2,0.11443436696876158,0.011443436696876159
TPO,2.675037325,0.2675037325
TRH,1.4266946212,0.14266946212
TSHB,1.9698266666757687,0.19698266666757688
UCN,0.564492841309516,0.056449284130951606
UCN2,0.521997509866,0.052199750986600006
UCN3,1.4008112695999997,0.14008112695999997
UTS2,2.3693732435783668,0.23693732435783668
UTS2B,0.17686833746723563,0.017686833746723564
VIP,0.21667387288905277,0.021667387288905278
