Gene,Max_logExp,Threshold
ITLN1,3.6320188178152697,0.363201881781527
KISS1,0.4614230117861165,0.04614230117861165
KNG1,2.4678615499838044,0.24678615499838044
LCN2,2.845224340860211,0.2845224340860211
LEP,1.1246604448255837,0.11246604448255837
LHB,3.7132780420752156,0.3713278042075216
MSTN,0.2918074890399999,0.029180748903999992
NAMPT,4.144052766841199,0.4144052766841199
NMB,0.3362799926933582,0.033627999269335816
NMU,1.0263557771005207,0.10263557771005208
NPB,0.3170881377465055,0.031708813774650554
NPFF,0.2287390491400203,0.02287390491400203
NPPA,4.304224909478317,0.43042249094783175
NPPB,2.3613915018136105,0.23613915018136106
NPPC,1.4309323738918907,0.14309323738918908
NPVF,0.9164197352799999,0.09164197352799999
NPW,0.8022066250000001,0.08022066250000001
NPY,4.380413858379111,0.4380413858379111
NTS,2.425063322373142,0.24250633223731421
OSTN,0.5774085519704896,0.05774085519704896
OXT,4.243679244387383,0.4243679244387384
PCSK1,1.6180342661223759,0.1618034266122376
PCSK2,2.6177522115242615,0.2617752211524262
PDYN,0.4333437915339508,0.04333437915339508
PENK,2.7652768472667706,0.27652768472667705
PMCH,5.094013651934329,0.5094013651934329
PNMT,1.0676216133692766,0.10676216133692767
PNOC,1.009662700579705,0.1009662700579705
POMC,6.673086611284523,0.6673086611284523
PPY,4.568603210988857,0.45686032109888575
PRL,5.9506834611365065,0.5950683461136507
PROK1,0.3406924155363094,0.03406924155363094
PROK2,1.8054466020222941,0.18054466020222942
PRXL2B,0.4731463264602205,0.04731463264602205
PTGDS,4.010628377595978,0.40106283775959783
PTGES,0.4146356246015206,0.041463562460152065
PTGIS,2.6595390986999985,0.26595390986999984
PTGS1,1.6549029609055887,0.16549029609055887
PTGS2,2.246660842733913,0.22466608427339133
PTH,0.16124610324062705,0.016124610324062705
PTHLH,1.1583101744705673,0.11583101744705673
PYY,1.059372019488381,0.1059372019488381
RARRES2,2.119844656889973,0.21198446568899731
RBP4,3.6365788204231047,0.3636578820423105
RETN,1.0188772596497253,0.10188772596497253
RLN2,0.09131944308240131,0.00913194430824013
SCT,0.41465180142852825,0.04146518014285283
SLC18A1,1.2701576185716332,0.12701576185716332
SLC18A2,2.5662824011364505,0.25662824011364505
SLC26A4,2.8806520817934542,0.28806520817934544
SLC5A5,1.5426915129625767,0.15426915129625768
SOST,0.7557218228370091,0.07557218228370091
SPX,0.4113399382,0.04113399382
SST,7.087730680502458,0.7087730680502458
STAR,2.420252897342704,0.24202528973427043
TAC1,3.337777855567327,0.33377778555673276
TAC3,1.9472566084215273,0.19472566084215273
TBXAS1,3.436316472768432,0.34363164727684326
TG,1.769027250077502,0.1769027250077502
TH,1.7208107781705955,0.17208107781705956
THPO,0.13304721068916672,0.013304721068916673
TOR2A,0.26179756997378484,0.026179756997378484
TPH1,1.2517787039053405,0.12517787039053405
TPH2,0.8300381380416981,0.08300381380416982
TPO,2.615514092894154,0.2615514092894154
TRH,2.6291701604072544,0.2629170160407254
UCN,0.19031569674052906,0.01903156967405291
UCN3,0.13384957336782177,0.013384957336782178
UTS2,0.43314584653844446,0.04331458465384445
UTS2B,0.56303207908167,0.056303207908167
VIP,4.221006091900964,0.42210060919009645
